time_intervals,cerealia,cyperaceae,poeceae ,trees,crops,herbaceous_plants
-3000 to -2901,0.001419734,0.003523621,0.015174444,0.958517765,0.001317128,0.003052554
-3000 to -2901,0,0.008589289,0.006203041,0.751950472,0.002338162,0.004628238
-3000 to -2901,0,0.023391813,0.002923977,0.640350877,0,0.023391813
-3000 to -2901,0,0.006884633,0.01975835,0.932034275,0.002067745,0.003673845
-3000 to -2901,0,0.006928406,0.004618938,0.958429561,0.009237875,0
-3000 to -2901,0,0.06010929,0.087431694,0.683060109,0.005464481,0.005464481
-3000 to -2901,0,0.00127011,0.008467401,0.970787468,0,0.00042337
-3000 to -2901,0,0.010680908,0.00400534,0.957276368,0,0.001335113
-3000 to -2901,0.000696864,0.040418118,0.11358885,0.434843206,0.001393728,0.010452962
-3000 to -2901,0,0.001505501,0.017829847,0.806078157,0.000270783,0.001302553
-3000 to -2901,0,0.092366902,0.046183451,0.801154586,0.006414368,0.001282874
-3000 to -2901,0.001084599,0.061822126,0.063449024,0.6664859,0.002711497,0.028741866
-3000 to -2901,0.001642036,0.003284072,0.02955665,0.837438424,0.008210181,0.013136289
-3000 to -2901,0,0.045289855,0.06763285,0.596014493,0.01147343,0.013888889
-3000 to -2901,0,0.006134969,0.010736196,0.737730061,0.001533742,0
-3000 to -2901,0.002091169,0.30361181,0.029449431,0.341772042,0.001655629,0.014811247
-3000 to -2901,0,0.24804273,0.377711701,0.216699897,0.00926624,0.018118729
-2900 to -2801,0,0.000966184,0,0.488888889,0,0.000966184
-2900 to -2801,0,0.028099174,0.171900826,0.514049587,0.003305785,0.076033058
-2900 to -2801,0,0.017952128,0.017287234,0.099734043,0.006648936,0.020611702
-2900 to -2801,0.001074114,0.119226638,0.048335124,0.382384533,0.002148228,0.003222342
-2900 to -2801,0.001049318,0.015739769,0.031479538,0.761804827,0.002098636,0.003147954
-2900 to -2801,0,0.005013957,0.010152022,0.957786313,0.000285144,0.000656168
-2900 to -2801,0,0.001587302,0.007936508,0.708730159,0.002380952,0.00952381
-2900 to -2801,0.001519757,0.02887538,0.072948328,0.727963526,0.001519757,0.003039514
-2900 to -2801,0,0.565090909,0.100727273,0.222181818,0.011636364,0.011636364
-2900 to -2801,0,0.26,0.362857143,0.082857143,0,0.017142857
-2900 to -2801,0,0.075801749,0.049562682,0.381924198,0.002915452,0.020408163
-2900 to -2801,0,0.017991004,0,0.827586207,0.007496252,0.00149925
-2900 to -2801,0.00044843,0.008390065,0.047212993,0.579218848,0.00044843,0.001036269
-2900 to -2801,0,0.002628184,0.024861386,0.868803524,0.005256368,0.004830918
-2900 to -2801,0,0,0.055710306,0.60724234,0,0
-2900 to -2801,0,0.11827957,0.16344086,0.268817204,0.017204301,0.08172043
-2900 to -2801,0,0.054871529,0.009531007,0.889941122,0.002061856,0.002188184
-2900 to -2801,0,0.064478312,0.154747948,0.498241501,0.018757327,0.002344666
-2900 to -2801,0,0.096529991,0.015878898,0.570623342,0.000443015,0.000378931
-2900 to -2801,0,0.092643052,0.076294278,0.678474114,0.008174387,0.024523161
-2900 to -2801,0,0.00045208,0.016274864,0.454339964,0.00045208,0.001356239
-2900 to -2801,0,0.017843289,0.013964313,0.899146625,0.003103181,0.00155159
-2900 to -2801,0,0.081530782,0.023294509,0.836938436,0.004991681,0.013311148
-2900 to -2801,0,0.00820559,0.049395593,0.891284159,0.000616009,0.003181695
-2900 to -2801,0,0,0.001706485,0.979522184,0,0.003412969
-2900 to -2801,0,0,0.046341463,0.719512195,0.009756098,0.009756098
-2900 to -2801,0.000480307,0.018988914,0.080052858,0.830112858,0.000480307,0.021984607
-2900 to -2801,0,0.002358491,0.016156074,0.798455809,0.001094836,0.000743959
-2900 to -2801,0.000307848,0.002126132,0.0151296,0.787495553,0.000939431,0.002217484
-2900 to -2801,0,0.003872576,0.018198674,0.800647242,0.000962668,0.002071005
-2900 to -2801,0,0.00091659,0.061411549,0.923006416,0,0
-2900 to -2801,0.001472754,0.002945508,0.00736377,0.949926362,0.001472754,0.001472754
-2900 to -2801,0.001472754,0.002945508,0.00736377,0.949926362,0.001472754,0.001472754
-2900 to -2801,0,0.108504399,0.014662757,0.818181818,0,0.011730205
-2900 to -2801,0,0.006514658,0.031487514,0.917480999,0.001085776,0.009771987
